,Name,Link,Nation,Club,Age,Position
0,Che Adams,/en/players/f2bf1b0f/Che-Adams,Scotland,Southampton,25,FW
1,Michail Antonio,/en/players/ac05f970/Michail-Antonio,Jamaica,West Ham,31,FW
2,Adam Armstrong,/en/players/68c720b5/Adam-Armstrong,England,Southampton,24,FW
3,Pierre-Emerick Aubameyang,/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang,Gabon,Arsenal,32,FW
4,Jordan Ayew,/en/players/da052c14/Jordan-Ayew,Ghana,Crystal Palace,29,FW
5,Folarin Balogun,/en/players/31822f8c/Folarin-Balogun,England,Arsenal,20,FW
6,Patrick Bamford,/en/players/93feac6e/Patrick-Bamford,England,Leeds United,27,FW
7,Ashley Barnes,/en/players/2691c772/Ashley-Barnes,England,Burnley,31,FW
8,Christian Benteke,/en/players/ab070c55/Christian-Benteke,Belgium,Crystal Palace,30,FW
9,Jarrod Bowen,/en/players/79c84d1c/Jarrod-Bowen,England,West Ham,24,FW
10,Armando Broja,/en/players/97220da2/Armando-Broja,Albania,Southampton,19,FW
11,Dominic Calvert-Lewin,/en/players/59e6e5bf/Dominic-Calvert-Lewin,England,Everton,24,FW
12,Edinson Cavani,/en/players/527f063d/Edinson-Cavani,Uruguay,Manchester Utd,34,FW
13,Kayky Chagas,/en/players/17734ea0/Kayky-Chagas,Brazil,Manchester City,18,FW
14,Aaron Connolly,/en/players/27c01749/Aaron-Connolly,Republic-of-Ireland,Brighton,21,FW
15,Patson Daka,/en/players/ca45605e/Patson-Daka,Zambia,Leicester City,22,FW
16,Keinan Davis,/en/players/9deaf2c8/Keinan-Davis,England,Aston Villa,23,FW
17,Troy Deeney,/en/players/82e34b69/Troy-Deeney,England,Watford,33,FW
18,Liam Delap,/en/players/dd897ee7/Liam-Delap,England,Manchester City,18,FW
19,Luis Díaz,/en/players/4a1a9578/Luis-Diaz,Colombia,Liverpool,24,FW
20,Odsonne Édouard,/en/players/0562b7f1/Odsonne-Edouard,France,Crystal Palace,23,FW
21,Anthony Elanga,/en/players/2fba6108/Anthony-Elanga,Sweden,Manchester Utd,19,FW
22,Roberto Firmino,/en/players/4c370d81/Roberto-Firmino,Brazil,Liverpool,29,FW
23,Ashley Fletcher,/en/players/eeb6551f/Ashley-Fletcher,England,Watford,25,FW
24,Phil Foden,/en/players/ed1e53f3/Phil-Foden,England,Manchester City,21,FW
25,Alejandro Garnacho,/en/players/7aa8adfe/Alejandro-Garnacho,Spain,Manchester Utd,17,FW
26,Dwight Gayle,/en/players/e58a03c6/Dwight-Gayle,England,Newcastle Utd,30,FW
27,Anwar El Ghazi,/en/players/ffa90327/Anwar-El-Ghazi,Netherlands,Everton,26,FW
28,Kaide Gordon,/en/players/19a9cb70/Kaide-Gordon,England,Liverpool,16,FW
29,Jack Grealish,/en/players/b0b4fd3e/Jack-Grealish,England,Manchester City,25,FW
30,Kelechi Iheanacho,/en/players/c92e1a31/Kelechi-Iheanacho,Nigeria,Leicester City,24,FW
31,Danny Ings,/en/players/07802f7f/Danny-Ings,England,Aston Villa,29,FW
32,Daniel James,/en/players/c931d9f9/Daniel-James,Wales,Manchester Utd,23,FW
33,Gabriel Jesus,/en/players/b66315ae/Gabriel-Jesus,Brazil,Manchester City,24,FW
34,Raúl Jiménez,/en/players/b561db50/Raul-Jimenez,Mexico,Wolves,30,FW
35,Diogo Jota,/en/players/178ae8f8/Diogo-Jota,Portugal,Liverpool,24,FW
36,Samuel Kalu,/en/players/b8d22478/Samuel-Kalu,Nigeria,Watford,23,FW
37,Harry Kane,/en/players/21a66f6a/Harry-Kane,England,Tottenham,28,FW
38,Moise Kean,/en/players/3d50bcdb/Moise-Kean,Italy,Everton,21,FW
39,Joshua King,/en/players/43458538/Joshua-King,Norway,Watford,29,FW
40,Jürgen Locadia,/en/players/6cc47ae1/Jurgen-Locadia,Netherlands,Brighton,27,FW
41,Shane Long,/en/players/9f472354/Shane-Long,Republic-of-Ireland,Southampton,34,FW
42,Romelu Lukaku,/en/players/5eae500a/Romelu-Lukaku,Belgium,Chelsea,28,FW
43,Riyad Mahrez,/en/players/892d5bb1/Riyad-Mahrez,Algeria,Manchester City,30,FW
44,Sadio Mané,/en/players/c691bfe2/Sadio-Mane,Senegal,Liverpool,29,FW
45,Anthony Martial,/en/players/8b788c01/Anthony-Martial,France,Manchester Utd,25,FW
46,Jean-Philippe Mateta,/en/players/50e6dc35/Jean-Philippe-Mateta,France,Crystal Palace,24,FW
47,Neal Maupay,/en/players/4bcf39f6/Neal-Maupay,France,Brighton,24,FW
48,Bryan Mbeumo,/en/players/6afaebf2/Bryan-Mbeumo,France,Brentford,21,FW
49,Kasey McAteer,/en/players/b2c66859/Kasey-McAteer,England,Leicester City,19,FW
50,Liam McCarron,/en/players/076bb352/Liam-McCarron,Scotland,Leeds United,20,FW
51,Hannibal Mejbri,/en/players/ca22ccb0/Hannibal-Mejbri,Tunisia,Manchester Utd,18,FW
52,Wesley Moraes,/en/players/bfae110f/Wesley-Moraes,Brazil,Aston Villa,24,FW
53,Reiss Nelson,/en/players/c5bdb6e3/Reiss-Nelson,England,Arsenal,21,FW
54,Eddie Nketiah,/en/players/a53649b7/Eddie-Nketiah,England,Arsenal,22,FW
55,Divock Origi,/en/players/43a166b4/Divock-Origi,Belgium,Liverpool,26,FW
56,Sonny Perkins,/en/players/87f12e30/Sonny-Perkins,England,West Ham,17,FW
57,Jaden Philogene Bidace,/en/players/19f4d211/Jaden-Philogene-Bidace,England,Aston Villa,19,FW
58,Teemu Pukki,/en/players/0745b37d/Teemu-Pukki,Finland,Norwich City,31,FW
59,Jay Rodriguez,/en/players/4ab53cdb/Jay-Rodriguez,England,Burnley,32,FW
60,Cristiano Ronaldo,/en/players/dea698d9/Cristiano-Ronaldo,Portugal,Manchester Utd,36,FW
61,Salomón Rondón,/en/players/b318a643/Salomon-Rondon,Venezuela,Everton,31,FW
62,Mohamed Salah,/en/players/e342ad68/Mohamed-Salah,Egypt,Liverpool,29,FW
63,Shola Shoretire,/en/players/00f0482f/Shola-Shoretire,England,Manchester Utd,17,FW
64,Fábio Silva,/en/players/e7aa9d7c/Fabio-Silva,Portugal,Wolves,19,FW
65,Ellis Simms,/en/players/26d3b5be/Ellis-Simms,England,Everton,20,FW
66,Raheem Sterling,/en/players/b400bde0/Raheem-Sterling,England,Manchester City,26,FW
67,Ivan Toney,/en/players/e09f279b/Ivan-Toney,England,Brentford,25,FW
68,Ferrán Torres,/en/players/9e1035f8/Ferran-Torres,Spain,Manchester City,21,FW
69,Cenk Tosun,/en/players/9a104dee/Cenk-Tosun,Turkey,Everton,30,FW
70,Adama Traoré,/en/players/9a28eba4/Adama-Traore,Spain,Wolves,25,FW
71,Trézéguet,/en/players/3ae14ed1/Trezeguet,Egypt,Aston Villa,26,FW
72,Jamie Vardy,/en/players/45963054/Jamie-Vardy,England,Leicester City,34,FW
73,Matěj Vydra,/en/players/0d4ceb32/Matej-Vydra,Czech-Republic,Burnley,29,FW
74,Ollie Watkins,/en/players/aed3a70f/Ollie-Watkins,England,Aston Villa,25,FW
75,Wout Weghorst,/en/players/c4e87b8b/Wout-Weghorst,Netherlands,Burnley,28,FW
76,Danny Welbeck,/en/players/ce5143da/Danny-Welbeck,England,Brighton,30,FW
77,Callum Wilson,/en/players/c596fcb0/Callum-Wilson,England,Newcastle Utd,29,FW
78,Chris Wood,/en/players/4e9a0555/Chris-Wood,New-Zealand,Newcastle Utd,29,FW
79,Chris Wood,/en/players/4e9a0555/Chris-Wood,New-Zealand,Burnley,29,FW
80,Andriy Yarmolenko,/en/players/849c826a/Andriy-Yarmolenko,Ukraine,West Ham,31,FW
81,Nathan Young-Coombes,/en/players/f9682888/Nathan-Young-Coombes,England,Brentford,18,FW
82,Wilfried Zaha,/en/players/b2bc3b1f/Wilfried-Zaha,Cote-dIvoire,Crystal Palace,28,FW
