squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Angers,30.0,48.4,36.0,396.0,3240.0,39.0,24.0,8.0,8.0,68.0,4.0,1.08,0.67,1.75,0.86,1.53,42.0,35.9,25.4,1.17,0.71,1.87,1.0,1.7,36.0,36.0,3240.0,54.0,1.5,147.0,101.0,66.7,9.0,11.0,16.0,7.0,19.4,6.0,5.0,1.0,0.0,36.0,2.0,10.0,3.0,43.3,0.27,-7.7,-0.21,145.0,408.0,35.5,736.0,201.0,37.0,36.3,286.0,47.6,41.5,372.0,33.0,8.9,19.0,0.53,13.0,359.0,116.0,16.0,32.3,9.97,3.22,0.09,0.27,0.11,-3.0,-4.9,14724.0,17780.0,82.8,292789.0,95123.0,5417.0,6091.0,88.9,6799.0,7614.0,89.3,2213.0,3412.0,64.9,-1.4,255.0,877.0,189.0,58.0,1029.0,16029.0,1751.0,515.0,12.0,2312.0,527.0,328.0,178.0,50.0,77.0,9.0,12947.0,2005.0,2828.0,6513.0,9487.0,516.0,681.0,284.0,40.0,272.0,496.0,380.0,565.0,15.69,378.0,62.0,40.0,23.0,40.0,61.0,1.69,34.0,6.0,3.0,7.0,10.0,1.0,648.0,402.0,327.0,257.0,64.0,236.0,618.0,38.2,382.0,5637.0,1563.0,27.7,1932.0,2540.0,1165.0,532.0,103.0,0.0,429.0,586.0,604.0,8.0,22164.0,2335.0,8118.0,10871.0,4554.0,647.0,20462.0,417.0,770.0,54.2,461.0,42.0,14751.0,70844.0,37848.0,1387.0,394.0,117.0,16651.0,14724.0,88.4,515.0,551.0,3.0,464.0,461.0,46.0,7.0,5.0,3.0,2723.0,399.0,546.0,42.2
Bordeaux,37.0,47.2,36.0,396.0,3240.0,46.0,37.0,2.0,4.0,87.0,4.0,1.28,1.03,2.31,1.22,2.25,40.4,37.5,28.1,1.12,0.78,1.9,1.04,1.82,36.0,36.0,3240.0,89.0,2.47,176.0,96.0,53.4,5.0,12.0,19.0,1.0,2.8,9.0,7.0,2.0,0.0,36.0,1.0,10.0,3.0,68.3,0.34,-17.7,-0.49,301.0,677.0,44.5,1005.0,123.0,46.6,39.0,311.0,67.2,49.5,294.0,16.0,5.4,44.0,1.22,16.4,417.0,140.0,15.0,33.6,11.58,3.89,0.11,0.31,0.09,5.6,6.5,12908.0,16364.0,78.9,265761.0,92255.0,4906.0,5640.0,87.0,5526.0,6465.0,85.5,2253.0,3651.0,61.7,8.9,293.0,847.0,232.0,55.0,1019.0,14560.0,1804.0,444.0,26.0,2394.0,581.0,355.0,147.0,77.0,44.0,7.0,10933.0,2106.0,3325.0,3650.0,10744.0,582.0,777.0,190.0,49.0,333.0,549.0,402.0,629.0,17.47,444.0,64.0,35.0,35.0,26.0,69.0,1.92,48.0,10.0,4.0,2.0,3.0,2.0,691.0,436.0,344.0,262.0,85.0,242.0,680.0,35.6,438.0,5461.0,1627.0,29.8,1774.0,2515.0,1172.0,501.0,110.0,5.0,391.0,658.0,644.0,14.0,20590.0,2465.0,7689.0,9937.0,4269.0,690.0,18837.0,312.0,599.0,52.1,351.0,27.0,12859.0,67852.0,36205.0,1284.0,376.0,131.0,15151.0,12908.0,85.2,493.0,432.0,2.0,470.0,403.0,58.0,2.0,9.0,3.0,2792.0,524.0,507.0,50.8
Brest,25.0,43.8,36.0,396.0,3240.0,44.0,28.0,7.0,8.0,57.0,2.0,1.22,0.78,2.0,1.03,1.81,42.5,36.3,27.2,1.18,0.76,1.94,1.01,1.76,36.0,36.0,3240.0,49.0,1.36,154.0,109.0,70.1,13.0,9.0,14.0,7.0,19.4,3.0,3.0,0.0,0.0,36.0,0.0,9.0,2.0,43.0,0.27,-4.0,-0.11,310.0,642.0,48.3,829.0,182.0,49.2,41.4,309.0,75.7,56.2,293.0,21.0,7.2,23.0,0.64,14.4,380.0,127.0,10.0,33.4,10.56,3.53,0.1,0.29,0.1,1.5,0.7,12123.0,15570.0,77.9,248548.0,91767.0,4787.0,5569.0,86.0,4895.0,5836.0,83.9,2161.0,3482.0,62.1,0.8,288.0,930.0,256.0,80.0,1053.0,13742.0,1828.0,467.0,20.0,2133.0,543.0,452.0,157.0,77.0,51.0,10.0,9988.0,2034.0,3548.0,3935.0,9434.0,599.0,810.0,245.0,39.0,304.0,523.0,375.0,612.0,17.0,430.0,73.0,29.0,33.0,34.0,67.0,1.86,41.0,7.0,4.0,7.0,7.0,1.0,713.0,448.0,363.0,268.0,82.0,232.0,580.0,40.0,348.0,6024.0,1773.0,29.4,1964.0,2841.0,1219.0,488.0,113.0,5.0,375.0,659.0,722.0,4.0,19873.0,2292.0,6853.0,9286.0,5039.0,747.0,18084.0,291.0,574.0,50.7,319.0,31.0,11982.0,64621.0,36197.0,1320.0,441.0,131.0,14419.0,12123.0,84.1,500.0,431.0,0.0,451.0,438.0,42.0,4.0,3.0,2.0,2746.0,689.0,565.0,54.9
Clermont Foot,28.0,50.3,36.0,396.0,3240.0,35.0,25.0,2.0,2.0,61.0,8.0,0.97,0.69,1.67,0.92,1.61,41.8,40.3,30.8,1.16,0.86,2.02,1.12,1.98,36.0,36.0,3240.0,66.0,1.83,149.0,90.0,59.1,9.0,9.0,18.0,8.0,22.2,5.0,5.0,0.0,0.0,36.0,0.0,11.0,3.0,51.9,0.33,-11.1,-0.31,149.0,457.0,32.6,819.0,149.0,38.7,35.9,257.0,54.5,41.2,255.0,17.0,6.7,22.0,0.61,13.9,407.0,126.0,10.0,31.0,11.31,3.5,0.08,0.26,0.1,-6.8,-7.3,15094.0,18568.0,81.3,282882.0,93995.0,6613.0,7457.0,88.7,6141.0,7096.0,86.5,2053.0,3348.0,61.3,-5.8,297.0,909.0,251.0,99.0,1073.0,16753.0,1815.0,494.0,19.0,2429.0,509.0,424.0,167.0,68.0,52.0,9.0,13116.0,2251.0,3201.0,5647.0,10919.0,622.0,792.0,227.0,44.0,329.0,596.0,395.0,623.0,17.31,442.0,62.0,48.0,28.0,27.0,57.0,1.58,40.0,6.0,3.0,4.0,3.0,1.0,653.0,433.0,306.0,265.0,82.0,247.0,597.0,41.4,350.0,5521.0,1684.0,30.5,1676.0,2634.0,1211.0,486.0,99.0,1.0,387.0,549.0,499.0,12.0,22571.0,2211.0,8244.0,10705.0,4973.0,714.0,20815.0,327.0,587.0,55.7,357.0,36.0,14705.0,69495.0,36253.0,1291.0,366.0,122.0,17420.0,15094.0,86.6,451.0,504.0,3.0,392.0,482.0,51.0,1.0,5.0,3.0,2874.0,461.0,504.0,47.8
Lens,28.0,50.5,36.0,396.0,3240.0,55.0,37.0,5.0,5.0,69.0,7.0,1.53,1.03,2.56,1.39,2.42,49.7,45.9,35.4,1.38,0.98,2.36,1.28,2.26,36.0,36.0,3238.0,45.0,1.25,130.0,89.0,68.5,16.0,10.0,10.0,8.0,22.2,5.0,4.0,1.0,0.0,36.0,1.0,2.0,0.0,40.3,0.29,-4.7,-0.13,147.0,367.0,40.1,726.0,177.0,37.6,34.3,270.0,34.8,32.7,289.0,23.0,8.0,26.0,0.72,13.9,469.0,164.0,13.0,35.0,13.03,4.56,0.11,0.3,0.1,5.3,4.1,15806.0,19032.0,83.0,298572.0,95718.0,6526.0,7344.0,88.9,7003.0,7918.0,88.4,1991.0,3118.0,63.9,1.6,347.0,1115.0,282.0,67.0,1346.0,17426.0,1606.0,376.0,33.0,2448.0,528.0,399.0,195.0,67.0,92.0,4.0,14327.0,1996.0,2709.0,4591.0,12580.0,586.0,673.0,262.0,48.0,312.0,604.0,410.0,747.0,20.75,573.0,50.0,36.0,39.0,27.0,87.0,2.42,67.0,2.0,4.0,7.0,5.0,2.0,640.0,397.0,303.0,261.0,76.0,233.0,563.0,41.4,330.0,5136.0,1529.0,29.8,1564.0,2339.0,1233.0,466.0,104.0,3.0,362.0,626.0,568.0,6.0,22992.0,2207.0,6792.0,12462.0,5336.0,768.0,21438.0,314.0,560.0,56.1,340.0,21.0,14942.0,83027.0,47384.0,1900.0,545.0,118.0,17986.0,15806.0,87.9,477.0,390.0,1.0,446.0,396.0,53.0,3.0,5.0,0.0,2700.0,458.0,406.0,53.0
Lille,25.0,51.2,36.0,396.0,3240.0,40.0,26.0,4.0,5.0,93.0,6.0,1.11,0.72,1.83,1.0,1.72,48.9,45.1,32.0,1.36,0.89,2.25,1.25,2.14,36.0,36.0,3240.0,45.0,1.25,141.0,103.0,72.3,13.0,12.0,11.0,10.0,27.8,7.0,6.0,1.0,0.0,36.0,1.0,9.0,2.0,40.9,0.26,-2.1,-0.06,168.0,466.0,36.1,693.0,147.0,44.3,38.1,266.0,59.8,46.4,322.0,29.0,9.0,26.0,0.72,15.2,442.0,140.0,15.0,31.7,12.28,3.89,0.08,0.26,0.1,-8.9,-9.1,14557.0,18031.0,80.7,281556.0,91217.0,6079.0,6899.0,88.1,5971.0,6854.0,87.1,2197.0,3504.0,62.7,-6.0,324.0,1035.0,281.0,64.0,1205.0,16262.0,1769.0,448.0,28.0,2598.0,595.0,403.0,190.0,79.0,78.0,4.0,12620.0,2371.0,3040.0,4676.0,11304.0,593.0,783.0,242.0,80.0,331.0,596.0,434.0,688.0,19.11,490.0,68.0,43.0,36.0,32.0,62.0,1.72,38.0,6.0,5.0,5.0,7.0,1.0,683.0,439.0,326.0,271.0,86.0,242.0,588.0,41.2,346.0,5060.0,1587.0,31.4,1575.0,2319.0,1166.0,508.0,124.0,2.0,384.0,508.0,642.0,8.0,22145.0,2209.0,7143.0,11046.0,5399.0,843.0,20431.0,306.0,577.0,53.0,332.0,30.0,13970.0,73502.0,42097.0,1651.0,435.0,151.0,16925.0,14557.0,86.0,506.0,426.0,3.0,465.0,459.0,87.0,5.0,6.0,2.0,2924.0,572.0,507.0,53.0
Lorient,29.0,43.7,36.0,396.0,3240.0,33.0,19.0,3.0,3.0,63.0,4.0,0.92,0.53,1.44,0.83,1.36,42.0,39.7,29.2,1.17,0.81,1.98,1.1,1.91,36.0,36.0,3240.0,62.0,1.72,141.0,86.0,59.6,8.0,10.0,18.0,10.0,27.8,6.0,5.0,0.0,1.0,36.0,4.0,5.0,2.0,50.1,0.33,-9.9,-0.28,156.0,528.0,29.5,622.0,113.0,49.4,41.9,294.0,75.2,55.9,337.0,11.0,3.3,11.0,0.31,13.2,412.0,138.0,32.0,33.5,11.44,3.83,0.07,0.22,0.1,-9.0,-9.7,12302.0,15637.0,78.7,246430.0,82445.0,4788.0,5510.0,86.9,5247.0,6133.0,85.6,2018.0,3359.0,60.1,-10.2,289.0,847.0,197.0,75.0,999.0,13906.0,1731.0,422.0,33.0,2346.0,523.0,355.0,154.0,53.0,51.0,14.0,10365.0,2190.0,3082.0,4369.0,9428.0,542.0,764.0,186.0,51.0,314.0,518.0,392.0,640.0,17.78,448.0,56.0,29.0,31.0,44.0,49.0,1.36,28.0,2.0,6.0,4.0,6.0,3.0,739.0,460.0,348.0,320.0,71.0,287.0,732.0,39.2,445.0,6064.0,1767.0,29.1,2114.0,2885.0,1065.0,504.0,118.0,1.0,386.0,622.0,754.0,8.0,19926.0,2108.0,6918.0,9870.0,4318.0,600.0,18220.0,300.0,546.0,54.9,318.0,18.0,12106.0,58509.0,32421.0,1320.0,386.0,117.0,14540.0,12302.0,84.6,471.0,436.0,3.0,490.0,425.0,54.0,3.0,6.0,3.0,2757.0,480.0,558.0,46.2
Lyon,30.0,58.9,36.0,396.0,3240.0,60.0,41.0,8.0,8.0,62.0,6.0,1.67,1.14,2.81,1.44,2.58,65.9,60.1,45.8,1.83,1.27,3.11,1.67,2.94,36.0,36.0,3238.0,48.0,1.33,158.0,119.0,74.1,15.0,11.0,10.0,9.0,25.0,7.0,7.0,0.0,0.0,36.0,1.0,8.0,3.0,46.0,0.26,1.0,0.03,175.0,348.0,50.3,998.0,163.0,27.8,31.3,234.0,30.3,32.7,252.0,13.0,5.2,25.0,0.69,15.2,510.0,182.0,18.0,35.7,14.17,5.06,0.1,0.29,0.12,-5.9,-8.1,18946.0,22116.0,85.7,355514.0,109589.0,7959.0,8787.0,90.6,8004.0,8839.0,90.6,2559.0,3680.0,69.5,-4.8,379.0,1269.0,319.0,67.0,1427.0,20398.0,1718.0,472.0,58.0,2974.0,523.0,392.0,179.0,70.0,61.0,9.0,17054.0,2266.0,2796.0,7475.0,12794.0,538.0,748.0,252.0,53.0,255.0,618.0,349.0,838.0,23.28,630.0,57.0,54.0,46.0,32.0,99.0,2.75,73.0,3.0,5.0,10.0,7.0,1.0,701.0,463.0,297.0,298.0,106.0,260.0,615.0,42.3,355.0,5413.0,1675.0,30.9,1572.0,2554.0,1287.0,510.0,93.0,8.0,417.0,577.0,591.0,9.0,26541.0,2319.0,8092.0,13797.0,6355.0,948.0,24895.0,437.0,776.0,56.3,477.0,35.0,18055.0,88669.0,48176.0,1894.0,541.0,181.0,21345.0,18946.0,88.8,535.0,484.0,2.0,437.0,447.0,58.0,6.0,7.0,3.0,2892.0,488.0,463.0,51.3
